metabolite_id,metabolite_name,HMDB_id,KEGG_id,pathway,super_pathway,chemical_class,formula,CAS_id
MET_0468,5'-Methylthioadenosine (MTA),HMDB01173,C00170,Cysteine and methionine metabolism,Amino acids,Amino acid,C11H15N5O3S,2457-80-9
MET_0469,S-Adenosylhomocysteine (SAH),HMDB00939,C00021,Cysteine and methionine metabolism,Amino acids,Amino acid,C14H20N6O5S,979-92-0
MET_0470,2-Aminobutyric Acid,HMDB00452,C02356,Cysteine and methionine metabolism,Amino acids,Amino acid,C4H9NO2,1492-24-6
MET_0471,Methylglyoxal,HMDB01167,C00546,"Glycine, serine, and threonine metabolism,pyruvate metabolism",Amino acids,Amino acid,C3H4O2,78-98-8
MET_0472,Glycinamide,HMDB00123,C00037,"Glycine, serine, and threonine metabolism",Amino acids,Amino acid,C2H6N2O,
MET_0473,Glycine,HMDB00123,C00037,"Glycine, serine, and threonine metabolism",Amino acids,Amino acid,C2H5NO2,56-40-6
MET_0474,2-Ketobutyric Acid,HMDB00005,C00109,"Glycine, serine, and threonine metabolism; Cysteine and methionine metabolism",Amino acids,Amino acid,C4H6O3,600-18-0
MET_0475,Choline,HMDB00097,C00114,"Glycine, serine and threonine metabolism",Amino acids,Amino acid,C5H13NO,62-49-7
MET_0476,Serine,HMDB00187,C00065,"Glycine, serine and threonine metabolism",Amino acids,Amino acid,C3H7NO3,56-45-1
MET_0477,Betaine,HMDB00043,C00719,"Glycine, serine and threonine metabolism",Amino acids,Amino acid,C5H11NO2,107-43-7
MET_0478,N-Formylglycine,,,"Glycine, serine and threonine metabolism",Amino acids,Amino acid,C3H5NO3,2491-15-8
MET_0479,Threonine,HMDB00167,C00188,"Glycine, serine and threonine metabolism",Amino acids,Amino acid,C4H9NO3,72-19-5
MET_0480,Creatine,HMDB00064,C00300,"Glycine, serine, and threonine metabolism. Arginine and Proline metabolism",Amino acids,Amino acid,C4H9N3O2,57-00-1
MET_0481,Histamine,HMDB00870,C00388,Histidine metabolism,Amino acids,Amino acid,C5H9N3,51-45-6
MET_0482,4-Imidazoleacetic Acid,HMDB02024,C02835,Histidine metabolism,Amino acids,Amino acid,C5H6N2O2,645-65-8
MET_0483,Histidine,HMDB00177,C00135,Histidine Metabolism,Amino acids,Amino acid,C6H9N3O2,71-00-1
MET_0484,3-Methylhistidine,HMDB00479,C01152,Histidine Metabolism,Amino acids,Amino acid,C7H11N3O2,368-16-1
MET_0485,1-Methylhistidine,HMDB00480,C01153,Histidine Metabolism,Amino acids,Amino acid,C7H11N3O2,368-16-1
MET_0486,Ergothioneine,HMDB03045,C05570,Histidine metabolism,Amino acids,Amino acid,C9H15N3O2S,58511-63-0
MET_0487,Pipecolinic Acid,HMDB00070,C00408,Lysine degradation,Amino acids,Amino acid,C6H11NO2,3105-95-1
MET_0488,Glutaric Acid,HMDB00661,C00489,Lysine degradation,Amino acids,Amino acid,C5H8O4,110-94-1
MET_0489,Lysine,HMDB00182,C00047,Lysine metabolism,Amino acids,Amino acid,C6H14N2O2,56-87-1
MET_0490,2-Aminoadipic Acid,HMDB00510,C00956,Lysine degradation,Amino acids,Amino acid,C6H11NO4,542-32-5
MET_0491,Trimethyllysine,HMDB11691,C03793,Lysine degradation,Amino acids,Amino acid,C9H20N2O2,55528-53-5
MET_0492,2-Methylcitric Acid,HMDB03518,C01251,Lysine biosynthesis,Amino acids,Amino acid,C7H10O7,
MET_0493,Phenylpyruvic Acid,HMDB00205,C00166,Phenylalanine metabolism,Amino acids,Amino acid,C9H8O3,114-76-1
MET_0494,Phenylalanine,HMDB00159,C00079,Phenylalanine metabolism,Amino acids,Amino acid,C9H11NO2,63-91-2
MET_0495,Melilotate,HMDB33752,C01198,Phenylalanine metabolism,Amino acids,Amino acid,C9H10O3,495-78-3
MET_0496,Hippuric Acid,HMDB00714,C01586,Phenylalanine metabolism,Amino acids,Amino acid,C9H9NO3,495-69-2
MET_0497,N-Acetylphenylalanine,HMDB00512,C03519,Phenylalanine metabolism,Amino acids,Amino acid,C11H13NO3,2018-61-3
MET_0498,2-Hydroxyphenylacetic Acid,,C01983,phenylalanine metabolism (phenylketonuria),Amino acids,Amino acid,C8H8O3,611-71-2
MET_0499,Indole-3-Acetaldehyde,HMDB01190,C00637,Tryptophan metabolism,Amino acids,Amino acid,C10H9NO,20095-27-6
MET_0500,Quinaldic Acid,HMDB00842,C06325,Tryptophan metabolism,Amino acids,Amino acid,C10H7NO2,93-10-7
MET_0501,3-Indoleacetic Acid,HMDB00197,C00954,Tryptophan metabolism,Amino acids,Amino acid,C10H9NO2,87-51-4
MET_0502,Kynurenic Acid,HMDB00715,C01717,Tryptophan metabolism,Amino acids,Amino acid,C10H7NO3,492-27-3
MET_0503,"4-(2-Aminophenyl)-2,4-dioxobutanoic acid*",HMDB00978,C01252,Tryptophan metabolism,Amino acids,Amino acid,C10H9NO4,
MET_0504,5-Hydroxyindoleacetic Acid,HMDB00763,C05635,Tryptophan metabolism,Amino acids,Amino acid,C10H9NO3,54-16-0
MET_0505,Tryptophan,HMDB00929,C00078,Tryptophan metabolism,Amino acids,Amino acid,C11H12N2O2,73-22-3
MET_0506,Xanthurenic Acid,HMDB00881,C02470,Tryptophan metabolism,Amino acids,Amino acid,C10H7NO4,59-00-7
MET_0507,Kynurenine,HMDB00684,C00328,Tryptophan metabolism,Amino acids,Amino acid,C10H12N2O3,2922-83-0
MET_0508,Indoxyl Sulfate,HMDB00682,,Tryptophan metabolism,Amino acids,Amino acid,C8H7NO4S,2642-37-7
MET_0509,Hydroquinone,HMDB02434,C00530,Tyrosine metabolism,Amino acids,Amino acid,C6H6O2,123-31-9
MET_0510,Tyramine,HMDB00306,C00483,Tyrosine metabolism,Amino acids,Amino acid,C8H11NO,51-67-2
MET_0511,3-Hydroxyphenylacetic Acid,HMDB00440,C05593,Tyrosine/phenylalanin metabolism,Amino acids,Amino acid,C8H8O3,621-37-4
MET_0512,4-Hydroxyphenylacetic Acid,HMDB00020,C00642,Tyrosine metabolism,Amino acids,Amino acid,C8H8O3,156-38-7
MET_0513,Gentisic Acid,HMDB00152,C00628,Tyrosine metabolism,Amino acids,Amino acid,C7H6O4,490-79-9
MET_0514,Homogentisic Acid,HMDB00130,C00544,Tyrosine metabolism,Amino acids,Amino acid,C8H8O4,451-13-8
MET_0515,"3,4-Dihydroxyphenylacetic Acid (DOPAC)",HMDB01336,C01161,Tyrosine metabolism; Dopamine metabolism,Amino acids,Amino acid,C8H8O4,102-32-9
MET_0516,4-Hydroxyphenylpyruvic Acid,HMDB00707,C01179,Tyrosine metabolism,Amino acids,Amino acid,C9H8O4,156-39-8
MET_0517,Tyrosine,HMDB00158,C00082,Tyrosine metabolism,Amino acids,Amino acid,C9H11NO3,60-18-4
MET_0518,Homovanillic Acid,HMDB00118,C05582,Tyrosine metabolism; dopamine/catecholamine metabolite,Amino acids,Amino acid,C9H10O4,306-08-1
MET_0519,4-Hydroxyphenyllactate,HMDB00755,C03672,Tyrosine metabolism,Amino acids,Amino acid,C9H10O4,6482-98-0
MET_0520,Vanillylmandelic Acid,HMDB00291,C05584,Tyrosine metabolism; catabolism of catecholamines,Amino acids,Amino acid,C9H10O5,55-10-7
MET_0521,2-Ketoisocaproic acid,HMDB00491,C00671,Isoleucine degradation,Amino acids,Amino acid,C6H10O3,1460-34-0
MET_0522,2-Hydroxyisocaproic acid,HMDB00317,,Isoleucine metabolism,Amino acids,Amino acid,C6H12O3,
MET_0523,3-Hydroxymethylglutaric Acid,HMDB00355,C03761,Leucine degradation,Amino acids,Amino acid,C6H10O5,503-49-1
MET_0524,2-Hydroxyisovaleric acid,,,"Valine, leucine, and isoleucine biosynthesis / degradation",Amino acids,Amino acid,C5H10O3,
MET_0525,2-Ketoisovaleric acid,,,"Valine, leucine, and isoleucine biosynthesis / degradation",Amino acids,Amino acid,C5H8O3,
MET_0526,Valine,HMDB00883,C00183,"Valine, leucine, and isoleucine biosynthesis / degradation",Amino acids,Amino acid,C5H11NO2,72-18-4
MET_0527,Methylmalonic Acid,HMDB00202,C02170,"Valine, leucine, and isoleucine degradation; Propanoate metabolism",Amino acids,Amino acid,C4H6O4,516-05-2
MET_0528,Citraconic Acid,HMDB00634,C02226,"Valin, leucine, isoleucine biosynthesis",Amino acids,Amino acid,C5H6O4,498-23-7
MET_0529,Ketoleucine,HMDB00695,C00233,"Valine, Leucine and Isoleucine Degradation",Amino acids,Amino acid,C6H10O3,816-66-0
MET_0530,Leucine,HMDB00687,C00123,"Valine, leucine and isoleucine degradation/ biosynthesis",Amino acids,Amino acid,C6H13NO2,328-39-2
MET_0531,Isoleucine,HMDB00172,C00407,"Valine, leucine, isoleucine biosynthesis",Amino acids,Amino acid,C6H13NO2,73-32-5
MET_0532,N-Acetylglycine,HMDB00532,,Amino acid acetylation,Amino acids,Amino acid,C4H7NO3,543-24-8
MET_0533,N-Acetydserine,HMDB02931,,Amino acid acetylation,Amino acids,Amino acid,C5H9NO4,97-14-3
MET_0534,Putrescine,HMDB01414,C00134,Polyamine metabolism,Amino acids,Amino acid,C4H12N2,110-60-1
MET_0535,Spermine,HMDB01256,C00750,Polyamine metabolism,Amino acids,Amino acid,C10H26N4,71-44-3
MET_0536,N1-Acetylspermidine,HMDB01276,C00612,Polyamine metabolism,Amino acids,Amino acid,C9H21N3O,14278-49-0
MET_0537,Hypotaurine,HMDB00965,C00519,Taurine and hypotaurine metabolism,Amino acids,Amino acid,C2H7NO2S,300-84-5
MET_0538,Taurine,HMDB00251,C00245,Taurine and hypotaurine metabolism,Amino acids,Amino acid,C2H7NO3S,107-35-7
MET_0539,Lipoic Acid,HMDB01451,C00725,Lipoic acid metabolism,Amino acids,Amino acid,C8H14O2S2,1077-28-7
MET_0540,Fumaric Acid,HMDB00134,C00122,Citrate cycle (TCA cycle),Energy metabolism,Energy metabolism,C4H4O4,110-17-8
MET_0541,Succinic Acid,HMDB00254,C00042,Citrate cycle (TCA cycle),Energy metabolism,Energy metabolism,C4H6O4,110-15-6
MET_0542,Malic Acid,HMDB00156,C00149,Citrate cycle (TCA cycle),Energy metabolism,Energy metabolism,C4H6O5,97-67-6
MET_0543,Oxoglutaric Acid,HMDB00208,C00026,Citrate cycle (TCA cycle),Energy metabolism,Energy metabolism,C5H6O5,328-50-7
MET_0544,2-ketoglutaramate,HMDB01552,C00940,"Citrate cycle (TCA cycle), Alanine, Aspartate, and Glutamate metabolism",Energy metabolism,Energy metabolism,C5H7NO4,
MET_0545,Aconitic Acid,HMDB00072,C00417,Citrate cycle (TCA cycle),Energy metabolism,Energy metabolism,C6H6O6,499-12-7
MET_0546,Beta-Carboxyglutaric Acid,HMDB31193,C19806,"Citrate cycle (TCA cycle) , from msms fragmentation",Energy metabolism,Energy metabolism,C6H8O6,
MET_0547,Citric Acid,HMDB00094,C00158,Citrate cycle (TCA cycle),Energy metabolism,Energy metabolism,C6H8O7,77-92-9
MET_0548,Methylenesuccinic Acid,HMDB02092,C00490,"Citrate cycle (TCA cycle), dibasic acid metabolism",Energy metabolism,Energy metabolism,C5H6O4,97-65-4
MET_0549,Glucose+Cl,HMDB03345,C00031,Glycolysis; Gluconogenesis; galactose metabolism,Energy metabolism,Energy metabolism,C6H13ClO6,492-62-6
MET_0550,2-Phosphoglyceric Acid,HMDB00362,C00631,Glycolysis / Gluconeogenesis,Energy metabolism,Energy metabolism,C3H7O7P,
MET_0551,3-Phospho-Glycerate,HMDB00807,C00197,Glycolysis / Gluconeogenesis,Energy metabolism,Energy metabolism,C3H7O7P,80731-10-8
MET_0552,Lactic Acid,HMDB00190,C00186,Glycolysis / Gluconeogenesis,Energy metabolism,Energy metabolism,C3H6O3,79-33-4
MET_0553,Pyruvate,HMDB00243,C00022,Glycolysis / Gluconeogenesis,Energy metabolism,Energy metabolism,C3H4O3,127-17-3
MET_0554,Pantothenic Acid,HMDB00210,C00864,Pantothenate and CoA biosynthesis,Energy metabolism,Energy metabolism,C9H17NO5,79-83-4
MET_0555,Deoxyribose,HMDB03224,C01801,Pentose phosphate pathway,Energy metabolism,Energy metabolism,C5H10O4,533-67-5
MET_0556,Ribose,HMDB00283,C08353,Pentose phosphate pathway,Energy metabolism,Energy metabolism,C5H10O5,50-69-1
MET_0557,Gluconic Lactone,HMDB00150,C00198,Pentose phosphate pathway,Energy metabolism,Energy metabolism,C6H10O6,90-80-2
MET_0558,Ribose 5-Phosphate,HMDB01548,C00117,Pentose phosphate pathway,Energy metabolism,Energy metabolism,C5H11O8P,4300-28-1
MET_0559,6-Phosphogluconic Acid,HMDB01316,C00345,Pentose phosphate pathway,Energy metabolism,Energy metabolism,C6H13O10P,53411-70-4
MET_0560,Purine,HMDB01366,C15587,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C5H4N4,120-73-0
MET_0561,Adenine,HMDB01384,C00147,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C5H5N5,73-24-5
MET_0562,3-Methyladenine,HMDB11600,C00913,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C6H7N5,5142-23-4
MET_0563,Hypoxanthine,HMDB00157,C00262,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C5H4N4O,68-94-0
MET_0564,Xanthine,HMDB00292,C00385,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C5H4N4O2,69-89-6
MET_0565,Allantoin,HMDB00462,C01551,Purine degradation (not produced in higher apes or humans),Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C4H6N4O3,97-59-6
MET_0566,Uric Acid,HMDB00289,C00366,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C5H4N4O3,69-93-2
MET_0567,5-Hydroxyisourate,HMDB11821,C11821,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C5H4N4O4,
MET_0568,Adenosine,HMDB00050,C00212,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C10H13N5O4,58-61-7
MET_0569,Inosine,HMDB00195,C00294,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C10H12N4O5,58-63-9
MET_0570,Succinoadenosine,HMDB00912,,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C14H17N5O8,4542-23-8
MET_0571,Adenylosuccinate,HMDB00536,C03794,,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C14H18N5O11P,
MET_0572,5'-Phosphoribosylglycinamide(GAR),HMDB02022,C03838,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C7H15N2O8P,10074-18-7
MET_0573,5'-Phosphoribosyl-N-formylglycinamide (FGAR),HMDB01308,C04376,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C8H15N2O9P,349-34-8
MET_0574,N-FormyGAR (FGAR)--riboside,HMDB01308,C04376,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C8H14N2O6,
MET_0575,AICA riboside,HMDB62179,,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C9H14N4O5,
MET_0576,SAICAR-riboside,,,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C13H18N4O9,
MET_0577,GAR riboside,,,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C7H14N2O5,
MET_0578,AMP,HMDB00045,C00020,Purine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C10H14N5O7P,61-19-8
MET_0579,ADP,HMDB01341,C00008,Purine metabolism. Oxidative phosphorylation,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C10H15N5O10P2,58-64-0
MET_0580,Beta-Alanine,HMDB00056,C00099,Pyrimidine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C3H7NO2,107-95-9
MET_0581,Cytosine,HMDB00630,C00380,Pyrimidine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C4H5N3O,71-30-7
MET_0582,N(4)-Acetylcytosine,,,Pyrimidine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C6H7N3O2,14631-20-0
MET_0583,Uracil,HMDB00300,C00106,Pyrimidine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C4H4N2O2,66-22-8
MET_0584,Orotic Acid,HMDB00226,C00295,Pyrimidine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C5H4N2O4,65-86-1
MET_0585,Dihydroorotic Acid,HMDB00528,C00337,Pyrimidine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C5H6N2O4,5988-19-2
MET_0586,Uracil 5-Carboxylic Acid/Isoorotic Acid,,C03030,Pyrimidine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C5H4N2O4,23945-44-0
MET_0587,Deoxyuridine,HMDB00012,C00526,Pyrimidine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C9H12N2O5,951-78-0
MET_0588,Cytidine,HMDB00089,C00475,Pyrimidine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C9H13N3O5,65-46-3
MET_0589,Uridine,HMDB00296,C00299,Pyrimidine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C9H12N2O6,58-96-8
MET_0590,Uridine+Cl,HMDB00296,C00299,Pyrimidine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C9H13ClN2O6,58-96-8
MET_0591,Orotidine,HMDB00788,C01103,Pyrimidine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C10H12N2O8,2149-82-8
MET_0592,UMP,HMDB00288,C00105,Pyrimidine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C9H13N2O9P,58-97-9
MET_0593,UDP,HMDB00295,C00015,Pyrimidine metabolism,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C9H14N2O12P2,58-98-0
MET_0594,5-Hydroxymethyluracil,HMDB00469,C03088,Nucleotide modification,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C5H6N2O3,4433-40-3
MET_0595,1-Methylguanine,HMDB03282,C04152,Nucleotide methylation,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C6H7N5O,938-85-2
MET_0596,5-Methylcytidine,HMDB00982,,Nucleotide modification,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C10H15N3O5,2140-61-6
MET_0597,Ribothymidine,HMDB00884,C16744,Nucleotide modification,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C10H14N2O6,1463-10-1
MET_0598,2-Methyladenosine,HMDB04326,C04779,Nucleotide modification,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C11H15N5O4,2140-79-6
MET_0599,3-Methyladenosine,HMDB06023,,Nucleotide modification,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C11H15N5O4,10300-22-8
MET_0600,1-Methyladenosine,HMDB03331,C02494,Nucleotide modification,Purine  and pyrimidine metabolism/nucleotide metabolism,Nucleotide,C11H15N5O4,15763-06-1
MET_0601,UDP-N-Acetylglucosamine,HMDB00290,C00043,Nucleotide sugar metabolism,Amino sugar and nucleotide sugar metabolism,Amino acid,C17H27N3O17P2,91183-98-1
MET_0602,N-Acetylneuraminic Acid,HMDB00230,C00270,Amino sugar metabolism,Amino sugar and nucleotide sugar metabolism,Amino acid,C11H19NO9,131-48-6
MET_0603,Maleic Acid,HMDB00176,C01384,Nicotinate and nicotinamide metabolism,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C4H4O4,110-16-7
MET_0604,Nicotinamide,HMDB01406,C00153,Nicotinate and nicotinamide metabolism,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C6H6N2O,98-92-0
MET_0605,Trigonelline/N-Methylnicotinate,HMDB00875,C01004,Nicotinate and nicotinamide metabolism,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C7H7NO2,535-83-1
MET_0606,Nicotinamide N-Oxide,HMDB02730,,Nicotinate and nicotinamide metabolism,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C6H6N2O2,1986-81-8
MET_0607,"2,3-Pyridinedicarboxylic Acid/Quinolinic Acid",HMDB00232,C03722,Nicotinate and Nicotinamide Metabolism,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C7H5NO4,89-00-9
MET_0608,1-Methylnicotinamide,HMDB01464,C02918,Nicotinate and nicotinamide metabolism,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C7H8N2O,6456-44-6
MET_0609,N1-Methy2-Pyridone-5-Carboxamide(2-PY),HMDB04193,C05842,Nicotinate and nicotinamide metabolism,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C7H8N2O2,701-44-0
MET_0610,N1-Methy4-Pyridone-5-Carboxamide(4-PY),HMDB04194,C05843,Nicotinate and nicotinamide metabolism,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C7H8N2O2,769-49-3
MET_0611,Dehydroascorbic Acid,HMDB01264,C05422,Ascorbate and aldarate metabolism,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C6H6O6,490-83-5
MET_0612,Ascorbic Acid,HMDB00044,C00072,Ascorbate and aldarate metabolism,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C6H8O6,50-81-7
MET_0613,Glucuronolactone,HMDB06355,C02670,Ascorbate and aldarate metabolism,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C6H8O6,32449-92-6
MET_0614,5-Oxo-Proline,HMDB00267,C01879,Glutathione metabolism,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C5H7NO3,98-79-3
MET_0615,N-Acetycysteine,HMDB01890,C06809,Glutathione synthesis,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C5H9NO3S,616-91-1
MET_0616,Cys-Gly,HMDB00078,C01419,Glutathione metabolism,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C5H10N2O3S,19246-18-5
MET_0617,Ophthalmic Acid,HMDB05765,,Glutathione analogue,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C11H19N3O6,495-27-2
MET_0618,S-Hexyglutathione,,,Glutathione metabolism,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C16H29N3O6S,24425-56-7
MET_0619,Cysteineglutathione Disulfide,HMDB00656,,Glutathione metabolism,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C13H22N4O8S2,
MET_0620,Thiamine (Vit B1),HMDB00235,C00378,Thiamine metabolism,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C12H16N4OS,59-43-8
MET_0621,Thiamine Monophosphate,HMDB02666,C01081,Thiamine metabolism,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C12H17N4O4PS,532-40-1
MET_0622,Pyridoxal,HMDB01545,C00250,Vitamine B6 metabolism,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C8H9NO3,65-22-5
MET_0623,4-Pyridoxic Acid,HMDB00017,C00847,Vitamin B6 Metabolism,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C8H9NO4,82-82-6
MET_0624,Menaquinone (Vit K2),HMDB30017,C00828,"Vitamin K Metabolism, Ubiquinone and other terpenoid-quinone biosynthesis","Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C31H40O2,11032-49-8
MET_0625,Ergocalciferol (Vit D2),HMDB00900,C05441,Vitamin D metabolism,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C28H44O,50-14-6
MET_0626,Folic Acid,HMDB00121,C00504,Folate metabolism,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C19H19N7O6,59-30-3
MET_0627,Pimelic Acid,HMDB00857,C02656,Biotin metabolism,"Cofactor, vitamin and antioxidant metabolism",Cofactor/Vitamin,C7H12O4,111-16-0
MET_0628,Erythrose,,C01796,Carbohydrates,Carbohydrate metabolism,Carbohydrate,C4H8O4,583-50-6
MET_0629,3'-Sialyllactose,HMDB00825,,"Carbohydrates, Oligosaccharide",Carbohydrate metabolism,Carbohydrate,C23H39NO19,35890-38-1
MET_0630,Fucose,HMDB00174,C01019,Fructose and mannose metabolism; Glycan and glycoprotein component,Carbohydrate metabolism,Carbohydrate,C6H12O5,2438-80-4
MET_0631,Galactose,HMDB00143,C01582,Galactose metabolism,Carbohydrate metabolism,Carbohydrate,C6H12O6,59-23-4
MET_0632,Sorbitol,HMDB00247,C00749,Fructose and mannose metabolism; galactose metabolism,Carbohydrate metabolism,Carbohydrate,C6H14O6,50-70-4
MET_0633,Myo-Inositol,HMDB00211,C00137,Galactose metabolism,Carbohydrate metabolism,Carbohydrate,C6H12O6,87-89-8
MET_0634,Lactose,HMDB00186,C00243,Galactose metabolism,Carbohydrate metabolism,Carbohydrate,C12H22O11,63-42-3
MET_0635,Sucrose,HMDB00258,C00089,Galactose metabolism; starch and sucrose metabolism,Carbohydrate metabolism,Carbohydrate,C12H22O11,57-50-1
MET_0636,Stachyose Hydrate,HMDB03553,C01613,Galactose metabolism,Carbohydrate metabolism,Carbohydrate,C24H42O21,10094-58-3
MET_0637,Galactaric Acid,HMDB00639,C00879,"Galactose metabolism,  oxidation of galactose",Carbohydrate metabolism,Carbohydrate,C6H10O8,526-99-8
MET_0638,Deoxycorticosterone Acetate,,C14554,Bile acid biosynthesis,Lipid metabolism,Lipid,C23H32O4,
MET_0639,Lithocholic Acid,HMDB00761,C03990,Bile acid biosynthesis,Lipid metabolism,Lipid,C24H40O3,434-13-9
MET_0640,Chenodeoxycholate,HMDB00518,C02528,Bile acid biosynthesis,Lipid metabolism,Lipid,C24H40O4,474-25-9
MET_0641,Taurolithocholic Acid,HMDB00722,C02592,Bile acid biosynthesis,Lipid metabolism,Lipid,C26H45NO5S,516-90-5
MET_0642,Taurodeoxycholate,HMDB00896,C05463,Bile acid biosynthesis,Lipid metabolism,Lipid,C26H45NO6S,
MET_0643,Taurocholic Acid,HMDB00036,C05122,Bile acid biosynthesis,Lipid metabolism,Lipid,C26H45NO7S,83830-80-2
MET_0644,Carnitine,HMDB00062,C00318,Carnitine metabolism,Lipid metabolism,Lipid,C7H15NO3,541-15-1
MET_0645,Acetylcarnitine,HMDB00201,C02571,Carnitine metabolism,Lipid metabolism,Lipid,C9H17NO4,3040-38-8
MET_0646,Propionylcarnitine,HMDB00824,C03017,Carnitine metabolism: Succinyl-CoA biosynthesis,Lipid metabolism,Lipid,C10H19NO4,20064-19-1
MET_0647,Butyrylcarnitine,HMDB02013,C02862,Carnitine metabolism,Lipid metabolism,Lipid,C11H21NO4,25576-40-6
MET_0648,Valerylcarnitine,HMDB13128,,Carnitine metabolism,Lipid metabolism,Lipid,C12H23NO4,
MET_0649,Hexanoylcarnitine,HMDB00705,,Carnitine metabolism,Lipid metabolism,Lipid,C13H25NO4,
MET_0650,Methylglutarylcarnitine,HMDB00552,,Carnitine metabolism,Lipid metabolism,Lipid,C11H19NO6,
MET_0651,Methylmalonylcarnitine,HMDB13133,,Carnitine metabolism,Lipid Metabolism,Lipid,C11H19NO6,
MET_0652,2-Octenoylcarnitine,HMDB13324,,Carnitine metabolism,Lipid metabolism,Lipid,C15H27NO4,
