metabolite_name,super_pathway,sub_pathway,log2FC_R1,pvalue_R1,log2FC_R39,pvalue_R39,recovery_pattern
LPC 20:3,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.6317565090404096,0.0516669511503159,0.128151748683501,0.552983803739457,full_recovery
LPC 20:1,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.1839298669473259,0.2703577732845612,0.0896764748700607,0.5594018489378301,stable
LPC 20:0,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.3297420622179806,0.0814753558080654,0.0495128241021315,0.7768603882200192,stable
LPC O-22:1,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.0904998030350411,0.7153691265278397,0.0597276181626773,0.7943819130267974,stable
LPC O-22:0,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.1611405339219931,0.0979219284503959,0.1644190538427728,0.130058965980837,stable
LPC 22:6,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.2492349100613114,0.4388982720767264,0.0096207812880327,0.9783940241512008,stable
PC 34:2;O,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-1.3068008560831947,0.1005900953310771,0.4872333204834839,0.267587124804179,full_recovery
PC 36:4;O,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.4664455942279552,0.0175244609967823,0.1475489409264022,0.4235998162920452,stable
PC 38:6;O,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.5450205593977754,0.0131860028325459,0.2072183444360903,0.3626775545349604,full_recovery
LPC 22:5,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.0943456817686271,0.7576549400324888,-0.0318027725644475,0.9169643843641572,stable
LPC 22:4,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.1649217143607751,0.6009731246036252,-0.0786149106610156,0.7945060915577797,stable
LPC 22:1,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.2627424124649843,0.5450211985270992,-0.0091779227630123,0.9820522352413212,stable
LPC 22:0,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.2942650049236373,0.2070286604306528,-0.1789600681756947,0.3895924054599161,stable
LPC O-24:2,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.0907823728684768,0.5087039501386443,0.0350632828883296,0.7956813822496163,stable
LPC O-24:1,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.0887333834145955,0.7562262922766897,0.2130793441984775,0.4195374906782243,stable
LPC O-24:0,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.0824256198145624,0.6903783544545679,0.113700307045235,0.5781335147331503,stable
LPC 24:0,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.2525845649548205,0.336811489434866,0.1162896444122588,0.6026623933402548,stable
PC 28:0,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.6562319625437654,0.4642788079112704,0.2378841209806213,0.6804553097440391,full_recovery
PC O-30:1,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.170367986476389,0.2720274151868174,0.1661196049287839,0.2656916244048433,stable
PC 30:0,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.6715335169968898,0.2697613398348546,0.0421469128381233,0.9251103893403204,full_recovery
PC 31:1,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-1.105703812006792,0.0566923787573836,0.253490308832474,0.5403633055834947,full_recovery
PC O-32:1,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.0734256371488317,0.7978669289955784,0.0470524986697442,0.8576825656335514,stable
PC 31:0,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.7563575907527166,0.0086592210199627,0.10602792030158,0.585843592093067,full_recovery
PC O-32:0,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.0061118488117086,0.9729125856839128,0.1526354899259888,0.3739404305503252,stable
PC 32:2,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.6367972602304449,0.2740261302476635,0.1065029127864179,0.7930634619855402,full_recovery
PC 32:0,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.0472201978775933,0.7856941570164214,0.1137858721430987,0.4891097957838498,stable
PC O-34:3,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.0085761913564698,0.9555426281285796,-0.112877611460907,0.4678830120203625,stable
PC 33:2,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.6037003715200369,0.0112165882005723,0.1590398510742637,0.3146298770973713,full_recovery
PC O-34:2,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.8904634454422263,0.0268751673234373,-0.231657964173775,0.4474370698592761,full_recovery
PC 33:1,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.6708766609018147,0.0525350463919866,0.078505552145734,0.7559070692066683,full_recovery
PC O-34:1,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.7000479371481856,0.1213037363627237,-0.0729373603730416,0.909551816776875,full_recovery
PC 33:0,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.4675442520665025,0.0127688886011985,0.0423426329634195,0.7593295813336955,stable
PC O-35:5,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.404283463208056,0.0584275518566545,0.0628281788234468,0.7047192755195149,stable
PC 34:4,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.5891759137776371,0.3356266426173463,0.1512548848891392,0.7272280601923091,full_recovery
PC O-35:4,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.4305874743242935,0.2349142504380728,-0.1406928218828754,0.6676338913193751,stable
PC 34:0,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.1352556792056481,0.5267857702640484,0.1724743923513729,0.3806224248546478,stable
PC 35:5,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.0982492715992981,0.8141477962747594,0.2416480445996459,0.4821072614464862,stable
PC 35:4,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.3399857771530385,0.1504123691737456,0.251738993370232,0.202164530555373,stable
PC O-36:4,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.0504139597898461,0.6910908503755607,0.0144723432618063,0.9018343217576088,stable
PC O-36:3,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.473064955795564,0.0112086094627153,-0.0343151513802397,0.8305032020958163,stable
PC 35:2,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.6831035780366991,0.0049375515755818,0.029745680294091,0.8553120635100012,full_recovery
PC O-36:2,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.3426184440827521,0.0505084371596252,0.0196522097321539,0.8984424830210297,stable
PC 36:6,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.4442080429590202,0.4807390527344209,0.1553454116855762,0.7453480246311208,stable
PC 36:5,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.9154789407629488,0.0856571037454972,0.1971305474636654,0.5899157922874547,full_recovery
PC 36:1,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.5208347998697523,0.0037944848787581,0.110001765316623,0.4626919906556812,full_recovery
PC O-38:7,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.2436200577070833,0.1023234810809791,-0.0948048238354273,0.5625177532631279,stable
PC 37:6,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.3450637256788618,0.410619750089257,0.2034427128108515,0.563197757127211,stable
PC O-38:6,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.1178456312032265,0.2998220953306661,0.0388277461973881,0.7283474457410317,stable
PC O-38:5,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.083949860138128,0.242136024040822,0.0734229281679435,0.3005241865826498,stable
PC 37:4,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.1736855449219221,0.3052355493102789,0.1499497918267384,0.4003331378172663,stable
PC O-38:4,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.1895489616638227,0.1105483235021276,0.1715286638462613,0.0978408036755384,stable
PC 38:7,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.6307953765270078,0.1920824615075011,0.1546645583041648,0.6758569703652519,full_recovery
PC 38:3,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.0880301330943345,0.6112968884182375,0.1285016214468009,0.4832615902104211,stable
PC 38:2,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.8563283951400301,0.0123697807221016,0.165061781774587,0.4229772461788553,full_recovery
PC 39:6,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.1989626291036895,0.4162240900420142,0.016325835636919,0.9414148633018782,stable
PC O-40:6,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.1417543754246685,0.1848250338021389,0.1612879533721994,0.1524558334289198,stable
PC 39:5,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.3344476962428533,0.024754639610175,0.0581422554171676,0.6629870011505494,stable
PC O-40:5,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],0.1968993474919198,0.0486379094531844,0.2211052656973449,0.0301838502500824,stable
PC 40:8,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.2554656643427399,0.3161033187882933,0.1645065069647252,0.4541146302812143,stable
PC 40:7,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.310719812243146,0.2617527807326766,0.0994987917006714,0.6703990678386473,stable
PC 40:5,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.0956975868495547,0.5904835269202743,0.0992630429647109,0.5868802610533643,stable
PC 40:4,Glycerophosphocholines [GP01],Diacylglycerophosphocholines [GP0101],-0.1828983895704312,0.2036952768836,0.1005342658500315,0.4356286705461597,stable
LPE O-16:1,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.100538360168992,0.6055345624620623,-0.4669531115689799,0.0507814376523205,stable
LPE 16:0,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.0180755643571004,0.9268086239277684,0.1552758473247145,0.3385132155891672,stable
LPE O-18:2,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.5212562097736382,0.2204584547702449,-0.2620945344533127,0.523497098062202,partial_recovery
LPE O-18:1,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.0733556251166127,0.6516647550909915,-0.1590306559567401,0.3443699394144341,stable
LPE 17:0,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.6197537164739013,0.1817766219520216,-0.0500312738210246,0.8864560303808957,full_recovery
LPE 18:2,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.7161698788519233,0.0503968253771969,0.2794804055136042,0.2666677370666475,full_recovery
LPE 18:1,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-1.1458747696988152,0.0981091646916651,0.0951063089067323,0.8320450076980226,full_recovery
LPE 18:0,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.3341477487703301,0.241289066950106,0.2275763446041258,0.2838120545694423,stable
LPE O-20:1,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],0.2283159696472952,0.1912152097332246,-0.0843636226568934,0.6641538453368373,stable
LPE 22:6,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.0212869388668875,0.9529724714426566,-0.1857488396223596,0.5939259755305278,stable
PE O-34:3,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-1.3734879048536472,0.0026028932968067,-0.2763850287734422,0.3608746934300204,full_recovery
PE O-34:2,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.4034223352459194,0.0201195280759283,-0.0830043144972885,0.5883945957326933,stable
PE 34:3,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-1.1832282992357148,0.1772509210327121,0.536365930532488,0.3146405606168552,full_recovery
PE 34:2,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.6890025809460163,0.2809072890735808,0.7091012666115996,0.1588556768371016,persistent
PE 34:1,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-1.105703812006792,0.0566923787573836,0.253490308832474,0.5403633055834947,full_recovery
PE 34:0,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.3602246530154409,0.2188654438490803,0.377008714699598,0.1368696567133532,stable
PE O-36:6,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-1.129100437772208,0.000988239054491,-0.272178422947312,0.2192355103396736,full_recovery
PE O-36:5,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.2478207122856006,0.2982168167375144,-0.0924510767934898,0.619263741661167,stable
PE O-36:4,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.7118761962361861,0.0035881493556219,0.038833971256986,0.841779363943308,full_recovery
PE O-36:3,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-1.0468879307264374,0.0032153450904281,-0.2279123889048006,0.3118894342198401,full_recovery
PE 35:2,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.6366647110807052,0.2740709535117582,0.1065863958463646,0.7928806242138513,full_recovery
PE O-36:2,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.3873436435019967,0.0798528677288115,-0.0552379928036525,0.7778732038234621,stable
PE 35:1,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.5587455081272699,0.2290972745179083,0.1026039919897808,0.7931884185120867,full_recovery
PE 36:5,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.7725634208323874,0.3822868811241291,0.7233678455370148,0.2422104673041124,persistent
PE O-37:5,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],0.038641106296003,0.4692185034428666,-0.1104574387488344,0.0915941526489468,stable
PE 36:4,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.0403886636830373,0.9296477161568748,0.5958613133920753,0.14200530067632,stable
PE 36:3,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-1.0788256099478188,0.0853243463101566,0.5272090602874581,0.1901937226298965,full_recovery
PE 36:2,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.6035293466567916,0.0114432534922304,0.16028438458101,0.3126797204578617,full_recovery
PE 36:1,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.5976859495036908,0.0479227957909788,0.0929843025679076,0.6736205126214482,full_recovery
PE O-38:7,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.3248618964519871,0.0956431484481223,0.0223277543642168,0.91096037352334,stable
PE O-38:5,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],0.0024602127446797,0.991540406304008,-0.0510756075336563,0.788886789692103,stable
PE 37:4,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.5927865424998557,0.3367110206034372,0.1503926543277234,0.7307725409048818,full_recovery
PE O-38:4,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.1714327476740126,0.0804188925630941,0.0324017219162656,0.7339813552790785,stable
PE 38:6,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],0.0768844514292125,0.8885094271941595,0.2691855379114312,0.5540641279416341,stable
PE 38:5,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.4783985446824151,0.1487962024564108,0.2654060118758221,0.3169158334937056,stable
PE 38:4,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.339004557893008,0.1449098925189018,0.2457213398561856,0.2039809854693493,stable
PE 38:3,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.71700845190588,0.0176625021474703,0.1469969027359513,0.4759078306976961,full_recovery
PE O-40:8,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.3805458732385195,0.0884087820155066,0.0627100295049733,0.7743697764199405,stable
PE O-40:7,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.1458562818658701,0.3983573187244638,0.2321783746902038,0.3027426432450955,stable
PE 39:6,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.4434969571810413,0.4817707183810361,0.1533750775973947,0.7487834966362734,stable
PE 40:6,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.3419910520055592,0.4153850777011562,0.1968053788113931,0.5775395031505797,stable
PE 40:5,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.732048623873426,0.0161223217516154,0.1535092130723841,0.4683606855627877,full_recovery
PE 40:4,Glycerophosethanolamines [GP01],Glycerophosethanolamines [GP01],-0.1779484809692296,0.3061941958668289,0.1519171368933657,0.4036471394963874,stable
SM 30:1;O2,Phosphosphingolipids [SP03],Ceramide phosphocholines (sphingomyelins) [SP0301],-0.8635016025544306,0.0538129339668338,-0.1235423810225071,0.7219536918193006,full_recovery
SM 32:1;O2,Phosphosphingolipids [SP03],Ceramide phosphocholines (sphingomyelins) [SP0301],-0.3729585609965861,0.0904633383598943,-0.1948051396425464,0.3203552918270187,stable
SM 34:2;O2,Phosphosphingolipids [SP03],Ceramide phosphocholines (sphingomyelins) [SP0301],0.0265792368690589,0.8982054010922593,-0.1154522799839689,0.5461712737484522,stable
SM 34:1;O2,Phosphosphingolipids [SP03],Ceramide phosphocholines (sphingomyelins) [SP0301],-0.2488295130413141,0.146032676760032,-0.1319256235569638,0.4141249185192204,stable
SM 34:1;O3,Phosphosphingolipids [SP03],Ceramide phosphocholines (sphingomyelins) [SP0301],-0.3214998817443484,0.0452967991694848,-0.1093332892387737,0.4186952244100594,stable
SM 42:3;O2,Phosphosphingolipids [SP03],Ceramide phosphocholines (sphingomyelins) [SP0301],-0.1388298835072658,0.483203893382683,-0.0277801962688276,0.878647088913565,stable
SM 31:1;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],-0.4135079932905159,0.0592808452238557,0.0830867870056818,0.6554197297986073,stable
SM 32:0;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],-0.1500944046887037,0.4899208608172211,-0.0659169450192195,0.7405272798331146,stable
SM 32:2;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],-0.481376219919342,0.1457076222331914,0.1035990555541709,0.7013076414773249,stable
SM 33:1;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],0.2157237577550255,0.1502661131762231,0.1857383939714871,0.1650109927764071,stable
SM 34:0;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],0.23170139227123,0.1875656227663417,0.1197436357854268,0.4084883056413685,stable
SM 34:3;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],-0.1581943554864673,0.4234273705422384,0.1027860775603038,0.5809808602647328,stable
SM 35:1;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],0.3243212647700096,0.0316626918987099,0.0884876886380682,0.4451811189491605,stable
SM 35:2;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],0.2330811389576267,0.2252463246084402,0.1847501126994642,0.3118589040233054,stable
SM 36:1;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],0.6004600771647263,0.0038124820206882,0.0960940859947773,0.5222252433500478,full_recovery
SM 36:2;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],0.4491399076738734,0.0506967436191263,0.1696343730572935,0.4237622659212284,stable
SM 36:3;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],0.2664663767022556,0.2442140770067926,0.2302831658633022,0.3172568231512837,stable
SM 37:2;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],0.5020631953497808,0.0279796780198911,0.0264832772932487,0.9019023607367308,full_recovery
SM 38:1;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],0.127345339497199,0.6057785627652883,0.037523073639269,0.8819820999948721,stable
SM 38:2;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],0.1901891545760437,0.3901351152476143,0.1039656829800389,0.6378094276124515,stable
SM 38:3;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],0.2731111357381777,0.200293082737816,0.1181852354165466,0.6092155583749115,stable
SM 39:1;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],-0.0142317677319625,0.919570458732966,0.0560025364029869,0.665142892556718,stable
SM 40:1;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],0.1966932101279173,0.2322987371028417,0.0468285571537384,0.7705129112553916,stable
SM 40:2;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],0.4556260932926411,0.1517810198162907,0.0852236808498757,0.7979748684348104,stable
SM 40:3;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],0.4107292049607549,0.1298821295078944,0.1511503530483664,0.6066447863272431,stable
SM 41:0;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],0.1013201894251663,0.4842467653105647,0.178641216405042,0.1408055471840479,stable
SM 41:1;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],0.0742675134987796,0.5293277523912787,0.113175969993005,0.2513035126840237,stable
SM 41:2;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],-0.027022437865227,0.8528277581917539,0.1339709125340309,0.3301661957246121,stable
SM 42:1;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],0.0320264565263763,0.923081103220698,0.6340861955028602,0.0717233640319339,stable
SM 42:2;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],0.2893267575459552,0.1465757821215311,0.2330948148429882,0.1717957615869434,stable
SM 43:1;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],0.0682395575600686,0.8325436987614802,0.3219331918677882,0.3802404246171066,stable
SM 43:2;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],0.0171217150584038,0.953869301321386,0.1979735135246022,0.4493439616769994,stable
SM 44:1;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],-0.469558843991389,0.2208469288977808,0.5505568700848017,0.1438830526565814,stable
SM 44:2;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],-0.4225979588035953,0.365630925602954,0.6163435306700877,0.1559871972389236,stable
SM 44:3;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],-0.2443076476133429,0.6567350090367049,0.6514434921910294,0.1828060375498933,stable
Sph 18:1;O2,Sphingolipids [SP],Phosphosphingolipids [SP03],0.5024704387199086,0.1161451751534475,-0.1904623689879332,0.540751771429075,full_recovery
Cer 42:0;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,-0.070294239185485,0.6741337130710798,0.3894237285628635,0.0076662176998448,stable
Cer 42:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,-0.3120256964898388,0.0906548498406151,0.079550115006008,0.6037913746945167,stable
Cer 32:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,-0.0597747595555731,0.7845330354353641,0.3794322621269469,0.0558092787616692,stable
Cer 34:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,0.1615520279030138,0.4211697796843793,0.1160216730483912,0.5289834477720492,stable
Cer 36:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,0.5648515134010512,0.1567969216053088,0.0744520251163219,0.8501932803072711,full_recovery
Cer 38:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,-0.4778738747573105,0.0662445382452287,0.009388397974305,0.9608344701991416,stable
Cer 39:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,-0.9492706848631842,0.0132263835243117,0.0199490605292341,0.9289225287866844,full_recovery
Cer 40:2;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,-0.4520175458161617,0.0817739031667563,-0.1362434600539733,0.5012525114515058,stable
Cer 41:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,-0.4314187958699659,0.0064589307541974,0.1168703008261676,0.2917867856529957,stable
Cer 41:2;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,-0.8085850914376294,0.0012172803671012,-0.0061755591582565,0.9652677694569456,full_recovery
Cer 40:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,-0.4195899993423397,0.0496527317192097,0.0234940172632849,0.88424384794037,stable
Cer 42:2;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,-0.4702615687479766,0.0291742650848234,0.0551976601325482,0.7284633379300027,stable
Cer 44:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,-0.0867903047436153,0.5602999550003813,0.1000844918143241,0.4542948467195877,stable
Cer 34:2;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,0.1356530726608274,0.5931572904763704,0.3312484061073625,0.2007504913456098,stable
Cer 42:3;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,-0.0221588559744674,0.9298383642670516,0.8199129913461192,0.0045340579600978,stable
Cer 43:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,-0.6403068971338006,0.0783960522759904,0.2013680269463614,0.420061162014103,full_recovery
Cer 43:2;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,-0.5129736509347911,0.0665365526043657,0.147388428073751,0.5075162915256457,full_recovery
dhCer 40:0;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,-0.1935624327502484,0.4585626248162716,0.6694880512032478,0.012610766175295,stable
dhCer 42:0;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,-0.0011838208934529,0.9948724831179444,0.5036848389523908,0.0094315098670239,stable
dhCer 42:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,-0.287033646486056,0.1333599325717837,0.1249563773296367,0.4168729779636624,stable
Cer 40:0;O,	Ceramides [SP02]	,	Ceramides [SP02]	,-0.5541164170977864,0.375639701795377,-0.0530848966147436,0.8919059193202643,full_recovery
Cer 40:1;O,	Ceramides [SP02]	,	Ceramides [SP02]	,-0.7084992627872644,0.0151496554311569,0.2800928700357473,0.2307619186610149,full_recovery
HexCer 34:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,0.2918216632632534,0.2231782563932646,0.2468444655591051,0.2843934933515344,stable
HexCer 38:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,0.5900394785575138,0.3802521664970064,0.6703472840793938,0.2867715587394794,persistent
HexCer 40:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,0.3937018269231028,0.2132493968363494,0.0852741305339208,0.7987579541025434,stable
Hex2Cer 34:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,0.4480490013911083,0.1005772341195642,0.2387633080631566,0.3546952960866327,stable
Hex2Cer 40:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,-0.00062500394245,0.9993027653760432,0.1046958773523221,0.880930009407665,stable
Hex2Cer 42:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,0.3704730456804557,0.4047350781831144,0.3219196063086997,0.4725526775439792,stable
Hex2Cer 42:2;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,0.4082904497403461,0.2301560867966164,0.2467504417945279,0.4611183708899642,stable
Hex2Cer 34:2;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,0.3857772571998857,0.1122848273808484,0.0185165624112717,0.9362483869513988,stable
Hex3Cer 34:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,0.3032924684925856,0.0727229929812465,0.139051164005693,0.3583629823301137,stable
Hex3Cer 36:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,0.4872633176061735,0.0410536196369738,0.2585941205012422,0.2027112887968611,stable
Hex3Cer 40:1;O2,	Ceramides [SP02]	,	Ceramides [SP02]	,0.6877116938797853,0.1619892175350999,0.3515113661449559,0.5285050042993353,partial_recovery
